brand,total_tweets,brand_tweets,customer_tweets,est_conversations,avg_word_count,short_msg_pct,duplicate_pct,missing_text_count,rank_score,rank
AmazonHelp,270343,169840,100503,100503,19.26,5.85,1.25,0,93440.78,1
AppleSupport,143518,106860,36658,36658,20.95,3.12,1.84,0,34860.81,2
Uber_Support,78430,56270,22160,22160,18.55,3.01,1.85,0,21095.36,3
VirginTrains,46267,27817,18450,18450,15.51,3.75,1.44,0,17502.41,4
AmericanAir,54809,36764,18045,18045,18.5,2.46,0.7,0,17477.89,5
SpotifyCares,58361,43265,15096,15096,20.21,3.02,1.06,0,14484.92,6
Delta,56723,42253,14470,14470,17.54,3.53,1.02,0,13816.83,7
GWRHelp,32491,19364,13127,13127,18.99,2.62,0.97,0,12659.08,8
ATVIAssist,30705,17650,13055,13055,17.14,3.58,0.88,0,12476.86,9
Tesco,51385,38573,12812,12812,23.7,2.11,0.89,0,12430.05,10
British_Airways,41846,29361,12485,12485,21.14,1.36,0.49,0,12254.86,11
VerizonSupport,30919,17966,12953,12953,15.53,5.98,2.99,0,11814.28,12
XboxSupport,36390,24557,11833,11833,18.77,3.19,1.23,0,11314.62,13
TMobileHelp,45979,34317,11662,11662,20.07,3.09,1.69,0,11110.65,14
SouthwestAir,40169,28977,11192,11192,19.16,2.97,0.79,0,10773.81,15
Ask_Spectrum,35396,25860,9536,9536,21.9,2.56,1.22,0,9178.52,16
AskPlayStation,28849,19098,9751,9751,15.62,4.75,2.31,0,9073.28,17
sainsburys,28797,19466,9331,9331,19.09,2.99,0.71,0,8987.73,18
hulu_support,31014,21872,9142,9142,20.7,2.14,0.8,0,8874.79,19
comcastcares,41937,33031,8906,8906,22.31,2.46,1.33,0,8571.38,20
sprintcare,31275,22381,8894,8894,19.95,2.82,1.09,0,8548.98,21
idea_cares,24454,15724,8730,8730,20.33,3.01,0.71,0,8407.11,22
O2,24720,16212,8508,8508,19.62,2.56,0.54,0,8245.43,23
SW_Help,20208,12231,7977,7977,19.48,2.46,1.38,0,7673.39,24
ChipotleTweets,26138,18749,7389,7389,12.21,6.99,0.63,0,6829.21,25
Safaricom_Care,23751,16077,7674,7674,12.62,8.95,2.99,0,6778.26,26
AirAsiaSupport,18698,12829,5869,5869,17.52,2.91,0.9,0,5646.93,27
UPSHelp,23657,17817,5840,5840,22.42,2.6,1.25,0,5617.06,28
AskTarget,17931,13218,4713,4713,26.0,2.59,0.85,0,4551.91,29
BofA_Help,16466,12683,3783,3783,18.06,2.18,0.63,0,3677.22,30
